city,zip,kitchen,type,subtype,price,saletype,bedrooms,living_area,terrace,terrace_area,garden,garden_area,landplot,facades,pool,ID,building_state,URL
Aalst,9300,1,house,house,159000,,2,81,1,,1,70,120,2,,10828460,to be done up,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10828460
Oupeye,4682,1,house,house,149000,,3,138,1,20,1,390,571,3,,10823978,to renovate,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10823978
Grace-Hollogne,4460,1,house,house,199000,,3,133,1,65,1,470,583,2,,10823979,good,https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/10823979
Ronse,9600,1,house,house,289000,,3,156,,,1,350,555,3,,10823777,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10823777
Deurne,2100,1,house,house,314000,,3,151,,,1,60,136,2,,10823722,good,https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/10823722
MOHA,4520,1,house,house,385000,,7,350,1,30,,,1199,4,,10824516,good,https://www.immoweb.be/en/classified/house/for-sale/moha/4520/10824516
Erpe-Mere,9420,1,house,house,498000,,4,205,1,,,,663,3,,10823494,as new,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10823494
Aalst,9300,1,house,house,679000,,5,370,1,,,,961,4,,10823496,as new,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10823496
Oupeye,4682,1,house,house,199000,,4,130,,,1,155,350,2,,10821092,good,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10821092
Geraardsbergen,9500,1,house,house,237500,,3,125,,,,,58,2,,10821645,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10821645
Herent,3020,1,house,mixed use building,359000,,4,348,,,1,128,314,2,,10472547,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herent/3020/10472547
Herent,3020,1,house,house,359000,,4,348,,,1,128,314,2,,10472546,good,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10472546
Gent,9000,1,apartment,penthouse,469000,,3,115,1,12,,,,4,,10824915,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/10824915
Evere,1140,1,apartment,apartment,525000,,3,131,1,14,,,,,,10829873,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10829873
Uccle,1180,1,apartment,apartment,575000,,3,126,1,16,,,,,,10639202,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10639202
Mechelen,2800,1,house,house,295000,,2,172,1,,,,189,2,,10828802,good,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10828802
Auderghem,1160,1,apartment,penthouse,1495000,,3,210,1,190,,,,4,,10828566,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/auderghem/1160/10828566
Waterloo,1410,1,apartment,apartment,658000,,3,133,1,18,,,,2,,10826308,as new,https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/10826308
Wezembeek-Oppem,1970,1,house,house,329000,,3,80,1,14,1,60,170,3,,10827696,to be done up,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696
Wezembeek-Oppem,1970,1,house,house,329000,,3,80,1,28,1,60,170,3,,10828745,to be done up,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745
Roosdaal,1760,1,house,house,360000,,3,301,1,,,,545,3,,10825693,good,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693
Malmedy,4960,1,house,apartment block,299000,,2,167,,,,,95,2,,10826180,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/malmedy/4960/10826180
Ixelles,1050,1,house,house,830000,,4,282,,,1,80,163,2,,10828236,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10828236
Liège,4031,1,house,house,249000,,1,95,,,1,93,149,2,,10826704,just renovated,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704
Bertem,3060,1,house,house,298000,,4,112,1,24,1,272,450,4,,10825503,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503
Ixelles,1050,1,apartment,apartment,485000,,1,70,1,16,,,,2,,10828785,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10828785
Woluwe-Saint-Pierre,1150,1,apartment,penthouse,399000,,2,117,,,,,,3,,10724438,just renovated,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/10724438
Woluwe-Saint-Pierre,1150,1,apartment,penthouse,599000,isUnderOption,3,180,1,10,,,,2,,10828444,good,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/10828444
Woluwe-Saint-Pierre,1150,1,apartment,ground floor,599000,,2,180,1,20,1,50,,2,,10828438,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-pierre/1150/10828438
Vilvoorde,1800,1,apartment,duplex,299000,,2,143,1,34,,,,2,,10826600,as new,https://www.immoweb.be/en/classified/duplex/for-sale/vilvoorde/1800/10826600
GENTBRUGGE,9050,1,apartment,apartment,290000,,1,76,1,9,,,,2,,10826375,good,https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/10826375
Gent,9000,1,apartment,apartment,315000,,2,88,1,6,,,,2,,10825616,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825616
Gent,9000,1,apartment,apartment,225000,,1,60,,,,,,2,,10825078,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825078
Gent,9000,1,apartment,apartment,290000,,1,76,1,9,,,,2,,10825079,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825079
Wilrijk,2610,1,apartment,apartment,215000,,1,71,,,,,,2,,10823728,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/10823728
Deurne,2100,1,apartment,apartment,182500,,2,85,,,,,,2,,10823729,good,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10823729
Antwerp,2100,1,apartment,apartment,219000,,2,91,1,3,,,,2,,10823718,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2100/10823718
Evere,1140,1,apartment,apartment,545000,,3,140,1,13,,,,2,,10752208,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10752208
Evere,1140,1,apartment,apartment,545000,,3,140,1,13,,,,,,10830007,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10830007
Gent,9000,1,apartment,apartment,349000,,2,80,1,5,,,,2,,10831105,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10831105
Antwerp,2000,1,house,house,439900,,2,160,1,13,,,48,2,,10831508,as new,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10831508
Uccle,1180,1,house,house,695000,,4,185,1,,1,240,308,2,,10829358,good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10829358
Chaudfontaine,4050,1,apartment,penthouse,265000,,1,63,1,8,,,,2,,10831378,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/chaudfontaine/4050/10831378
Lievegem,9930,1,house,house,495000,,4,194,1,66,1,630,975,3,,10831406,good,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9930/10831406
Lede,9340,1,house,house,449000,,2,145,1,,,,527,3,,10831292,as new,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10831292
Holsbeek Kortrijk-Dutsel,3220,1,house,villa,579000,,4,225,1,18,,,1103,4,,10831251,good,https://www.immoweb.be/en/classified/villa/for-sale/holsbeek%20kortrijk-dutsel/3220/10831251
Wetteren,9230,1,apartment,apartment,209900,,2,102,,,,,,3,,10734012,as new,https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/10734012
Liège Grivegnée,4030,1,apartment,apartment,239000,,2,100,1,20,,,,2,,10831379,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge%20grivegn%C3%A9e/4030/10831379
Uccle,1180,1,apartment,apartment,295000,,2,92,1,7,,,,2,,10831606,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10831606
Gent,9000,1,apartment,apartment,309000,,2,90,1,,,,,2,,10831289,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10831289
Woluwe-Saint-Pierre,1150,1,apartment,ground floor,599000,,2,180,1,20,1,50,,2,,10831237,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-pierre/1150/10831237
Woluwe-Saint-Lambert,1200,1,apartment,apartment,359000,,2,95,1,5,,,,2,,10831566,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10831566
St-Gilles,1060,1,apartment,duplex,450000,,3,135,,,,,,3,,10831920,good,https://www.immoweb.be/en/classified/duplex/for-sale/st-gilles/1060/10831920
Willebroek,2830,1,apartment,apartment,185250,,2,83,1,,,,,2,,10829703,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/10829703
Brussels City,1000,1,apartment,apartment,185000,,1,38,,,,,,3,,10830254,good,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10830254
Gent Drongen,9031,1,house,house,295000,,3,143,1,,,,220,3,,10835801,to renovate,https://www.immoweb.be/en/classified/house/for-sale/gent%20drongen/9031/10835801
Etterbeek,1040,1,house,house,1150000,,6,300,1,40,1,150,260,2,,10832715,as new,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10832715
Gent,9000,1,house,mansion,529000,,3,200,,,1,55,136,2,,10835799,good,https://www.immoweb.be/en/classified/mansion/for-sale/gent/9000/10835799
Aalst,9300,1,house,mixed use building,295000,,3,249,1,21,,,180,2,,10833652,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9300/10833652
Gembloux,5030,1,house,house,300000,,4,148,1,10,1,35,280,2,,10834155,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/10834155
Herstal,4040,1,house,house,164000,,4,167,1,80,,,90,3,,10833916,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10833916
Wetteren,9230,1,house,bungalow,499000,,3,198,1,,,,627,4,,10835967,as new,https://www.immoweb.be/en/classified/bungalow/for-sale/wetteren/9230/10835967
Antwerp,2018,1,house,mansion,1250000,,8,360,,,1,36,173,2,,10835944,good,https://www.immoweb.be/en/classified/mansion/for-sale/antwerp/2018/10835944
Dilbeek,1700,1,house,town house,590000,,4,290,1,,,,517,3,1,10833480,good,https://www.immoweb.be/en/classified/town-house/for-sale/dilbeek/1700/10833480
Seraing,4100,1,house,house,144000,,2,105,1,,1,25,105,2,,10833667,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10833667
Sint-Lievens-Houtem,9520,1,house,house,245000,,3,230,1,35,,,154,2,,10835368,to renovate,https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/10835368
Ixelles,1050,1,apartment,flat studio,323000,,0,48,,,,,,2,,10835890,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/10835890
Uccle,1180,1,apartment,apartment,615000,,3,145,1,20,,,,3,,10835993,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10835993
Evere,1140,1,apartment,apartment,325000,,1,76,1,6,,,,,,10835994,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10835994
Forest,1190,1,apartment,apartment,398500,,2,91,1,12,,,,2,,10836317,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10836317
Mechelen,2800,1,apartment,apartment,481000,,4,168,1,30,,,,2,,10836146,as new,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/10836146
Liège,4020,0,apartment,penthouse,350000,,3,214,,,,,,2,,10835849,to be done up,https://www.immoweb.be/en/classified/penthouse/for-sale/li%C3%A8ge/4020/10835849
VILLERS-L'ÉVÊQUE,4340,1,apartment,apartment,167500,,1,54,,,,,,2,,10834909,good,https://www.immoweb.be/en/classified/apartment/for-sale/villers-l%27%C3%89v%C3%8Aque/4340/10834909
Virton,6760,0,apartment,apartment,285000,,2,86,1,6,,,,,,10836302,as new,https://www.immoweb.be/en/classified/apartment/for-sale/virton/6760/10836302
Nivelles,1400,1,apartment,apartment,218000,,3,95,1,13,,,,4,,10834082,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10834082
Ouffet,4590,1,apartment,duplex,179000,,2,105,1,15,1,70,,,,10835020,good,https://www.immoweb.be/en/classified/duplex/for-sale/ouffet/4590/10835020
Mechelen,2800,1,apartment,apartment,249000,,1,70,1,4,,,,2,,10834414,good,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/10834414
Merchtem,1785,1,apartment,duplex,299000,,2,115,1,9,,,,2,,10834656,good,https://www.immoweb.be/en/classified/duplex/for-sale/merchtem/1785/10834656
Uccle,1180,1,apartment,apartment,499000,,2,135,1,5,,,,3,,10833378,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10833378
